ID,LessonID,Word,vi,en
15801,80,마주치다,va phải đụng phải giáp mặt đụng mặt,
15802,81,과언,(sự) quá lời nói quá (Lời nói quá mức hay lời khoa trương),
15803,82,장점,ưu điểm điểm mạnh,
15804,83,경쟁력,sức cạnh tranh,
15805,84,무역,Mậu dịch,
15806,85,국제 무역,thương mại quốc tế,
15807,86,해외 진출,sự thâm nhập mở rộng ra nước ngoài,
15808,87,담당하다,đảm đương đảm trách đảm nhiệm,
15809,88,갈등,sự bất đồng sự căng thẳng,
15810,89,구성원,thành viên,
15811,90,신뢰,sự tín nhiệm sự tin cậy,
15812,91,배려,sự quan tâm giúp đỡ,
15813,92,바탕,nền tảng,
15814,93,실천하다,đưa vào thực tiễn thực hiện,
15815,94,방안,phương án,
15816,95,둘러싸다,vây lấy bao quanh vây quanh,
15817,96,각각,từng mỗi mỗi một riêng từng,
15818,97,모래,cát,
15819,98,바위,tảng đá đá tảng,
15820,99,진흙,đất sét đất bùn,
15821,100,섞이다,bị trộn bị trộn lẫn bị lẫn bị lẫn lộn,
15822,101,갯벌,bãi bùn trên biển (bãi bùn rộng hiện ra lúc nước biển rút xuống),
15823,102,갖추다,có trang bị,
15824,103,모래사장,bãi cát bờ cát (ở sông hay biển),
15825,104,선호하다,ưu thích ưa chuộng,
15826,105,조개,nghêu sò ốc,
15827,106,게,cua ghẹ,
15828,107,즉석,tại chỗ ngay tại chỗ,
15829,108,저마다,mỗi người mỗi cái (từng người hay sự vật),
15830,109,뚜렷하다,rõ ràng rõ rệt,
15831,110,계곡,thung lũng khe núi,
15832,111,드러내다,làm hiện ra làm lộ ra phô bày bộc lộ,
15833,112,벗어나다,ra khỏi thoát khỏi,
15834,113,덮이다,được che phủ được bao phủ được bao trùm,
15835,114,매력,mê lực sức hấp dẫn sự lôi cuốn sự thu hút,
15836,115,취하다,say say mê/ chọn áp dụng,
